attribute,owner,component_level,use_cases,linked_verification_cases,notes
systemTime,top_system,system,"all","VC_CAM_Rate|VC_CAM_ForwardingLatency","Global time reference for traces"
testRunId,top_system,system,"all","VC_CAM_Rate|VC_CAM_ForwardingLatency","Verification trace identifier"
camUpdateRateMin,top_system,system,"UC0_SystemUseCases|UC1_CACC_Synchronization","VC_CAM_Rate","Minimum CAM update rate"
maxV2VEndToEndLatency,top_system,system,"UC0_SystemUseCases","VC_CAM_ForwardingLatency","End-to-end V2V latency limit"
maxV2IEndToEndLatency,top_system,system,"UC6_CrossroadAdaptation|UC7_SpeedLimitsAdaptation","","End-to-end V2I latency limit"
emergencyBrakingMaxReactionTime,top_system,system,"UC2_AbruptCutIn","VC_CutIn_Safety","Max reaction time for emergency braking"
v2vPacketLossRate,inputGateway,component,"UC0_SystemUseCases","VC_Fragmentation_Reconstruction","Measured V2V packet loss"
v2vAvgLatency,inputGateway,component,"UC0_SystemUseCases","VC_CAM_ForwardingLatency","Average V2V latency"
messageFragmentationRate,inputGateway,component,"UC14_DegradedSignalManagement|UC15_FragmentedSignalManagement","VC_Fragmentation_Reconstruction","Message fragmentation percentage"
DENM_confidence,inputGateway,component,"UC9_RoadConditionWarning","","Confidence score for DENM"
camIntegrityScore,inputGateway,component,"UC0_SystemUseCases","","CAM signature/fields integrity score"
validationLatency,inputGateway,component,"UC0_SystemUseCases","","Validation latency metric"
lastCamTimestamp,camComposer,component,"UC0_SystemUseCases","VC_CAM_Rate","Timestamp of last CAM sent"
camGenerationLatency,camComposer,component,"UC0_SystemUseCases","VC_CAM_Rate","CAM generation time"
camSequenceNumber,camComposer,component,"UC0_SystemUseCases","","Sequence number for CAM traceability"
camSignatureValid,camComposer,component,"UC0_SystemUseCases","","CAM signature validation result"
sampleHoldTimeout,sample_hold,component,"UC0_SystemUseCases","VC_CAM_Rate","Sample-and-hold timeout"
sampleAge,sample_hold,component,"UC0_SystemUseCases","VC_CAM_Rate","Age of held CAM sample"
currentHeadway,elaboration,component,"UC5_AdaptingFollowing","","Current headway measurement"
desiredHeadway,elaboration,component,"UC5_AdaptingFollowing","","Target headway"
speedLimitEnforced,elaboration,component,"UC7_SpeedLimitsAdaptation","VC_SpeedLimitEnforcement","Speed limit enforcement state"
glosaActive,elaboration,component,"UC6_CrossroadAdaptation","VC_GLOSA_Timeout","GLOSA active flag"
glosaComputationTime,elaboration,component,"UC6_CrossroadAdaptation","VC_GLOSA_Timeout","GLOSA computation time"
processingLatency,elaboration,component,"UC0_SystemUseCases","","Per-cycle processing latency"
stringStabilityIndex,elaboration,component,"UC4_Shockwave_Mitigation","VC_StringStability","Platoon string stability metric"
leaderProfileConfidence,elaboration,component,"UC5_AdaptingFollowing","","Leader profile confidence"
currentJamRate,elaboration,component,"UC4_Shockwave_Mitigation","VC_StringStability","Jam rate metric"
camOutputRate,outputGateway,component,"UC0_SystemUseCases","VC_CAM_Rate","CAM output rate at gateway"
camForwardingLatency,outputGateway,component,"UC0_SystemUseCases","VC_CAM_ForwardingLatency","Gateway CAM forwarding latency"
camForwardingRetries,outputGateway,component,"UC0_SystemUseCases","","CAM forwarding retry count"
controlForwardingLatency,outputGateway,component,"UC0_SystemUseCases","","Control forwarding latency"
forwardingSuccessRate,outputGateway,component,"UC0_SystemUseCases","","Forwarding success rate"
